"correo","sexo","compañeros","hablar","estresarme","me importan los demas","desordenado","comodidad","malas palabras","empatico","social","conversaciones","orden y limpieza","divertirme","estudiar con otros","videojuegos","leer","deportes","anime","futbol","maquillaje","musica","acostarme tarde","Describase a si mismo","objetivo","puntuacion"
"lorem 1","M",1,2,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"lorem",4,3.0454545454545454
"lorem 2","F",3,2,4,4,2,3,3,2,2,2,4,3,4,2,4,2,3,4,2,3,4,"lorem",3,2.9545454545454546
"lorem 3","F",1,2,3,3,4,2,4,2,1,3,2,4,5,1,2,3,4,1,2,3,4,"lorem",2,2.6363636363636362
"lorem 4","F",2,2,2,4,1,1,4,3,2,4,1,4,1,3,2,4,2,2,3,2,1,"lorem",2,2.3636363636363638
"lorem 5","F",1,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,1,3,3,3,1,"lorem",2,2.272727272727273
"lorem 6","M",1,2,2,2,2,3,3,1,1,1,1,2,2,2,1,1,1,2,2,3,3,"lorem",1,1.7727272727272727
"lorem 7","M",2,4,4,5,4,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,"lorem",3,4.2272727272727275
"lorem 8","M",1,3,4,4,4,4,4,4,2,4,4,2,4,4,4,2,4,4,4,5,5,"lorem",3,3.590909090909091
"lorem 9","M",2,4,5,4,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,"lorem",2,4.409090909090909
"lorem 10","M",2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"lorem",1,4.681818181818182
"lorem 11","F",1,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,"lorem",1,1.3636363636363635
"lorem 12","M",1,2,2,1,1,1,2,2,2,3,2,2,2,2,1,2,2,1,1,1,1,"lorem",2,1.6363636363636365
"lorem 13","M",1,2,3,3,3,2,2,2,3,3,3,2,2,2,1,1,3,3,2,2,1,"lorem",3,2.227272727272727
"lorem 14","F",2,2,2,3,3,2,1,2,2,3,3,3,1,1,1,2,3,3,4,2,1,"lorem",3,2.227272727272727
"lorem 15","F",3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,"lorem",4,4.5
"lorem 16","F",1,1,1,1,1,1,1,2,2,2,3,3,3,3,2,1,2,2,2,2,3,"lorem",3,1.9090909090909092
"lorem 17","F",2,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,"lorem",3,4.2727272727272725
"lorem 18","M",1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,2,2,2,"lorem",2,1.5454545454545454
"lorem 19","F",1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,1,"lorem",1,1.3636363636363635
"lorem 20","M",3,2,5,1,1,3,4,1,1,1,1,5,3,1,3,2,3,2,5,3,2,"lorem",1,2.409090909090909
"lorem 21","F",1,4,1,2,1,3,4,4,4,4,4,4,1,1,1,4,5,4,2,3,1,"lorem",3,2.772727272727273
"lorem 22","F",3,3,3,2,3,4,4,2,5,5,2,2,1,4,1,1,2,1,3,5,4,"lorem",5,2.9545454545454546
"lorem 23","F",5,2,5,4,1,1,4,4,5,5,5,4,2,5,3,4,2,4,5,4,5,"lorem",2,3.6818181818181817
"lorem 24","F",5,5,5,3,2,5,2,2,5,4,5,4,2,3,2,2,1,5,3,1,3,"lorem",5,3.3636363636363638
"lorem 25","M",5,5,3,4,1,5,2,4,4,5,4,3,3,3,5,2,1,4,5,1,5,"lorem",4,3.5454545454545454
"lorem 26","M",5,5,4,2,3,4,2,4,1,2,5,1,1,5,4,3,2,3,1,3,3,"lorem",1,2.909090909090909
"lorem 27","M",5,3,1,5,3,3,1,3,1,1,4,3,2,5,4,4,1,4,3,4,2,"lorem",3,2.9545454545454546
"lorem 28","M",4,4,5,3,2,5,3,5,3,1,5,5,2,3,5,1,5,1,3,1,2,"lorem",5,3.3181818181818183
"lorem 29","M",1,5,4,1,3,3,3,3,4,4,4,1,3,2,3,4,2,5,3,1,5,"lorem",3,3.0454545454545454
"lorem 30","F",5,5,5,5,4,1,2,4,3,1,5,1,5,1,2,1,3,2,2,2,5,"lorem",2,3
"lorem 31","M",5,2,5,3,4,1,5,3,4,2,3,1,5,2,4,2,1,5,3,1,5,"lorem",1,3.0454545454545454
"lorem 32","M",4,3,4,5,4,3,2,5,5,1,3,5,2,3,3,5,4,1,2,2,5,"lorem",3,3.3636363636363638
"lorem 33","F",2,3,1,5,3,5,1,1,3,1,2,3,2,4,2,3,4,4,1,5,5,"lorem",1,2.772727272727273
"lorem 34","F",4,2,1,1,4,2,4,3,2,1,2,4,3,5,5,2,4,4,2,4,2,"lorem",1,2.8181818181818183
"lorem 35","F",2,4,2,2,3,3,5,5,2,5,2,5,1,3,5,3,3,1,2,4,4,"lorem",2,3.090909090909091
"lorem 36","F",1,5,4,3,4,3,2,5,4,1,2,1,2,4,3,5,4,2,1,3,2,"lorem",3,2.909090909090909
"lorem 37","M",2,3,2,3,3,4,3,1,1,1,5,4,4,4,1,3,4,3,5,2,1,"lorem",4,2.8636363636363638
"lorem 38","F",1,2,4,5,2,5,4,1,5,1,3,1,3,1,4,4,2,5,5,5,5,"lorem",2,3.1818181818181817
"lorem 39","M",3,2,5,5,1,5,4,3,3,2,3,1,4,4,2,2,4,3,2,1,4,"lorem",4,3.0454545454545454
"lorem 40","F",2,3,3,3,2,2,4,1,4,5,4,3,4,5,3,3,2,1,4,2,2,"lorem",1,2.8636363636363638
"lorem 41","F",2,5,4,5,2,5,5,1,2,4,2,3,3,2,1,5,5,1,3,1,5,"lorem",1,3.0454545454545454
"lorem 42","F",1,5,1,4,4,4,4,2,1,1,4,5,2,3,3,5,2,1,2,2,5,"lorem",2,2.8636363636363638
"lorem 43","F",2,3,4,3,5,5,2,2,3,4,3,3,2,2,1,1,3,5,1,4,4,"lorem",2,2.909090909090909
"lorem 44","M",1,3,2,4,5,1,5,1,4,4,5,1,5,2,4,3,1,3,2,4,2,"lorem",5,3.0454545454545454
"lorem 45","M",5,2,4,5,5,4,5,4,1,1,4,1,4,4,2,2,3,5,5,3,1,"lorem",3,3.3181818181818183
"lorem 46","M",1,4,4,2,4,2,4,4,5,4,3,2,1,1,4,1,5,5,4,4,1,"lorem",4,3.1363636363636362
"lorem 47","M",3,1,1,5,5,3,2,4,2,3,3,5,1,4,3,5,4,1,2,3,1,"lorem",5,3
"lorem 48","M",2,1,5,5,2,5,3,3,3,1,1,3,5,2,4,5,4,5,1,5,2,"lorem",4,3.227272727272727
"lorem 49","F",2,2,4,4,5,3,4,5,2,5,1,1,1,1,1,3,4,4,3,1,1,"lorem",2,2.6818181818181817
"lorem 50","M",5,1,2,4,3,1,3,4,2,1,3,2,2,3,2,5,5,2,3,2,1,"lorem",5,2.772727272727273
"lorem 51","M",4,3,3,3,4,2,1,3,5,2,4,1,4,4,2,3,5,1,5,4,3,"lorem",2,3.090909090909091
"lorem 52","F",1,5,3,4,4,2,4,3,1,1,5,3,2,3,2,3,3,4,4,5,4,"lorem",1,3.0454545454545454
"lorem 53","F",1,4,4,2,1,4,2,3,4,1,3,4,1,4,4,2,1,5,2,5,3,"lorem",3,2.8636363636363638
"lorem 54","F",2,2,5,1,1,2,2,4,2,3,5,1,3,2,5,1,1,4,2,3,4,"lorem",5,2.727272727272727
"lorem 55","F",3,5,1,3,5,3,3,3,2,3,3,4,2,1,2,2,2,2,4,1,3,"lorem",1,2.6363636363636362
"lorem 56","M",4,4,5,3,5,1,5,3,1,4,3,5,3,5,5,2,1,5,3,2,1,"lorem",5,3.409090909090909
"lorem 57","F",2,1,4,4,3,3,5,2,2,5,5,4,1,1,3,4,5,3,3,1,2,"lorem",5,3.090909090909091
"lorem 58","M",4,1,5,1,4,4,2,1,4,1,3,3,2,3,3,5,5,5,1,4,2,"lorem",1,2.909090909090909
"lorem 59","F",1,3,1,4,2,4,5,3,4,4,3,3,3,5,1,4,5,2,3,2,4,"lorem",4,3.1818181818181817
"lorem 60","F",5,1,2,3,2,1,4,3,3,3,3,3,4,4,3,3,2,3,2,2,5,"lorem",4,2.9545454545454546
"lorem 61","F",4,5,4,5,2,2,3,1,1,3,2,1,3,4,3,4,5,2,2,3,4,"lorem",1,2.909090909090909
"lorem 62","F",4,4,2,2,5,1,1,5,2,3,5,2,2,2,1,3,2,3,5,5,3,"lorem",4,3
"lorem 63","M",3,2,2,3,3,5,4,3,2,3,4,3,4,4,4,3,2,1,3,1,1,"lorem",3,2.8636363636363638
"lorem 64","M",4,2,2,5,4,5,2,1,1,2,3,1,2,2,3,5,3,2,4,3,3,"lorem",3,2.8181818181818183
"lorem 65","M",1,4,1,4,1,3,4,3,1,2,2,1,3,5,2,3,5,4,4,2,2,"lorem",5,2.8181818181818183
"lorem 66","M",4,4,2,1,2,1,2,2,1,3,4,1,5,4,4,5,5,2,2,3,5,"lorem",1,2.8636363636363638
"lorem 67","M",5,1,5,2,2,2,4,1,3,1,4,1,5,5,2,3,5,1,5,2,2,"lorem",4,2.9545454545454546
"lorem 68","F",5,1,2,1,3,2,3,5,2,1,5,4,1,3,1,1,3,4,5,2,2,"lorem",5,2.772727272727273
"lorem 69","M",5,2,3,1,3,1,5,1,3,1,4,1,3,5,1,2,3,2,1,1,5,"lorem",3,2.5454545454545454
"lorem 70","M",3,4,1,5,4,2,2,2,1,1,1,3,5,1,4,3,2,5,4,3,5,"lorem",3,2.909090909090909
"lorem 71","F",3,2,4,5,2,2,1,2,3,4,2,1,1,2,2,4,2,3,4,3,3,"lorem",1,2.5454545454545454
"lorem 72","F",4,2,1,3,3,2,2,2,5,1,2,1,3,2,5,3,4,4,4,4,2,"lorem",4,2.8636363636363638
"lorem 73","F",2,1,2,3,5,2,2,5,3,1,5,4,1,4,2,1,5,2,5,2,2,"lorem",3,2.8181818181818183
"lorem 74","F",1,2,3,3,1,1,2,2,1,3,5,4,3,3,5,3,3,2,1,4,1,"lorem",3,2.5454545454545454
"lorem 75","M",5,2,5,3,2,4,1,3,3,2,3,4,1,5,4,1,5,1,4,3,1,"lorem",1,2.8636363636363638
"lorem 76","F",4,3,1,2,1,2,3,2,3,2,3,2,3,4,2,5,4,5,5,4,4,"lorem",1,2.9545454545454546
"lorem 77","M",4,5,4,4,3,3,3,4,1,1,2,1,4,2,4,2,1,1,2,5,2,"lorem",3,2.772727272727273
"lorem 78","F",2,1,2,4,4,3,1,5,1,1,3,3,3,4,4,2,3,5,5,3,4,"lorem",3,3
"lorem 79","F",5,4,3,3,3,4,4,5,3,1,1,5,4,2,2,3,4,3,4,1,1,"lorem",1,3
"lorem 80","F",1,3,1,2,5,5,2,5,2,5,5,5,3,4,5,4,5,4,3,3,4,"lorem",1,3.5
"lorem 81","F",5,5,3,4,4,1,3,2,4,4,2,1,2,2,4,4,4,2,1,4,1,"lorem",4,3
"lorem 82","M",3,2,4,5,2,5,2,4,4,3,1,3,4,3,5,2,1,1,5,3,5,"lorem",1,3.090909090909091
"lorem 83","M",1,4,4,4,3,3,4,5,3,3,2,2,5,5,3,5,1,5,1,4,2,"lorem",5,3.3636363636363638
"lorem 84","M",5,3,2,4,4,2,1,4,4,1,4,1,1,3,5,5,4,3,3,1,4,"lorem",1,2.9545454545454546
"lorem 85","M",1,3,1,5,1,4,4,4,2,1,2,4,1,5,5,1,1,2,2,3,1,"lorem",2,2.5
"lorem 86","M",3,5,3,1,1,4,1,1,1,1,5,2,1,1,4,4,5,2,1,3,2,"lorem",3,2.4545454545454546
"lorem 87","F",1,3,3,5,4,1,5,2,1,1,1,1,4,4,1,1,2,1,2,4,1,"lorem",4,2.3636363636363638
"lorem 88","M",2,1,5,4,2,5,4,1,5,3,5,4,4,2,3,5,3,1,4,3,2,"lorem",1,3.1363636363636362
"lorem 89","M",3,2,4,4,2,3,2,1,2,5,3,3,4,2,5,4,1,3,3,4,4,"lorem",3,3.0454545454545454
"lorem 90","F",5,3,4,2,2,1,5,2,1,3,5,2,4,2,5,3,2,5,3,3,5,"lorem",3,3.1818181818181817
"lorem 91","F",1,2,1,4,4,1,2,3,2,4,5,2,4,1,2,3,5,4,2,2,3,"lorem",5,2.8181818181818183
"lorem 92","F",5,5,4,5,4,2,1,3,1,1,5,4,5,3,4,2,5,1,5,5,2,"lorem",5,3.5
"lorem 93","F",1,4,5,5,5,5,3,2,4,1,3,2,2,5,4,3,4,1,4,2,5,"lorem",5,3.409090909090909
"lorem 94","M",2,1,1,3,2,5,3,3,2,5,5,2,2,2,4,5,3,1,2,3,2,"lorem",5,2.8636363636363638
"lorem 95","F",2,4,1,1,5,1,5,4,1,3,1,4,3,2,3,5,1,1,1,3,1,"lorem",5,2.590909090909091
"lorem 96","M",2,3,3,3,3,5,3,3,4,5,1,1,5,4,1,1,3,1,5,4,2,"lorem",3,2.9545454545454546
"lorem 97","F",1,5,5,4,1,3,4,5,2,5,2,1,5,1,4,3,2,1,1,5,4,"lorem",1,2.9545454545454546
"lorem 98","F",2,1,4,4,2,1,4,3,5,5,4,2,1,1,4,1,4,5,3,4,1,"lorem",5,3
